Data da Medição;Número do veículo;Número do eixo do trem;Veículo;Número do eixo do veículo;Lateral do veículo;Velocidade do eixo;Extremidade do eixo;Direção;Lateral da linha;Falha de rolamento;Alerta de rolamento;Consistente;Achatamento de pista de roda;ErsDB
2022-01-29 04:53:00;124;498;734879;2,0;R;44;A;Sentido RJ;Proximo;.;0;;.;54
2022-01-29 04:53:00;124;499;734879;3,0;L;44;A;Sentido RJ;Distante;RS3;0;False;.;56
2022-01-29 04:53:00;124;499;734879;3,0;R;44;A;Sentido RJ;Proximo;RS3;0;False;.;54
2022-01-29 04:53:00;124;500;734879;4,0;L;44;A;Sentido RJ;Distante;.;0;;.;56
2022-01-29 04:53:00;124;500;734879;4,0;R;44;A;Sentido RJ;Proximo;.;0;;.;57
2022-01-30 16:00:00;46;185;612934;1,0;L;52;A;Sentido RJ;Distante;.;0;;.;55
2022-01-30 16:00:00;46;185;612934;1,0;R;52;A;Sentido RJ;Proximo;.;0;;.;60
2022-01-30 16:00:00;46;186;612934;2,0;L;52;A;Sentido RJ;Distante;.;0;;.;56
2022-01-30 16:00:00;46;186;612934;2,0;R;52;A;Sentido RJ;Proximo;RS3;0;False;.;64
2022-01-30 16:00:00;46;187;612934;3,0;L;52;A;Sentido RJ;Distante;.;0;;.;56
2022-01-30 16:00:00;46;187;612934;3,0;R;52;A;Sentido RJ;Proximo;RS3;0;False;.;62
2022-01-30 16:00:00;46;188;612934;4,0;L;52;A;Sentido RJ;Distante;.;0;;.;58
2022-01-30 16:00:00;46;188;612934;4,0;R;52;A;Sentido RJ;Proximo;RS3;0;False;.;62
2022-01-31 05:04:00;124;497;734879;1,0;L;47;A;Sentido RJ;Distante;.;0;;.;53
2022-01-31 05:04:00;124;497;734879;1,0;R;47;A;Sentido RJ;Proximo;.;0;;.;57
2022-01-31 05:04:00;124;498;734879;2,0;L;47;A;Sentido RJ;Distante;.;0;;.;52
2022-01-31 05:04:00;124;498;734879;2,0;R;47;A;Sentido RJ;Proximo;.;0;;.;54
2022-01-31 05:04:00;124;499;734879;3,0;L;47;A;Sentido RJ;Distante;.;0;;.;52
2022-01-31 05:04:00;124;499;734879;3,0;R;47;A;Sentido RJ;Proximo;.;0;;.;53
2022-01-31 05:04:00;124;500;734879;4,0;L;47;A;Sentido RJ;Distante;.;0;;.;54
2022-01-31 05:04:00;124;500;734879;4,0;R;47;A;Sentido RJ;Proximo;RS3;0;False;.;56
2022-02-02 04:08:00;46;185;612934;1,0;L;52;A;Sentido RJ;Distante;.;0;;.;53
2022-02-02 04:08:00;46;185;612934;1,0;R;52;A;Sentido RJ;Proximo;.;0;;.;55
2022-02-02 04:08:00;46;186;612934;2,0;L;52;A;Sentido RJ;Distante;.;0;;.;51
2022-02-02 04:08:00;46;186;612934;2,0;R;52;A;Sentido RJ;Proximo;.;0;;.;56
2022-02-02 04:08:00;46;187;612934;3,0;L;52;A;Sentido RJ;Distante;.;0;;.;52
2022-02-02 04:08:00;46;187;612934;3,0;R;52;A;Sentido RJ;Proximo;.;0;;.;55
2022-02-02 04:08:00;46;188;612934;4,0;L;52;A;Sentido RJ;Distante;RS3;0;False;.;55
