Trem_;Veículo_;Rodeiro Veículo_;Média Rolamento Esquerdo (°C)_delta;Média Rolamento Direito (°C)_delta;DP Rolamento Esquerdo (°C)_delta;DP Rolamento Direito (°C)_delta;Rolamento Esquerdo (°C)_delta;Rolamento Direito (°C)_delta;Média Roda Esquerda (°C)_delta;Média Roda Direita (°C)_delta;DP Roda Esquerda (°C)_delta;DP Roda Direita (°C)_delta;Roda Esquerda (°C)_delta;Roda Direita (°C)_delta
NEH0340;734879;3;22,15;16,82;3,08;1,9399999999999995;31;19;52,67999999999999;66,72;11,170000000000002;9,220000000000002;26,0;53,0
NEH0340;734879;4;22,15;16,82;3,08;1,9399999999999995;22;21;52,67999999999999;66,72;11,170000000000002;9,220000000000002;4,0;60,0
NEL0122;612934;1;27,5;22,990000000000002;3,58;2,27;35;24;69,26;87,46;16,729999999999997;16,740000000000002;116,0;71,0
NEL0122;612934;2;27,5;22,990000000000002;3,58;2,27;26;23;69,26;87,46;16,729999999999997;16,740000000000002;27,0;60,0
NEL0122;612934;3;27,5;22,990000000000002;3,58;2,27;29;22;69,26;87,46;16,729999999999997;16,740000000000002;20,0;73,0
NEL0122;612934;4;27,5;22,990000000000002;3,58;2,27;32;25;69,26;87,46;16,729999999999997;16,740000000000002;97,0;94,0
NEL0122;734879;1;27,5;22,990000000000002;3,58;2,27;22;22;69,26;87,46;16,729999999999997;16,740000000000002;98,0;98,0
NEL0122;734879;2;27,5;22,990000000000002;3,58;2,27;30;28;69,26;87,46;16,729999999999997;16,740000000000002;56,0;69,0
NEL0122;734879;3;27,5;22,990000000000002;3,58;2,27;30;24;69,26;87,46;16,729999999999997;16,740000000000002;67,0;111,0
NEL0122;734879;4;27,5;22,990000000000002;3,58;2,27;35;31;69,26;87,46;16,729999999999997;16,740000000000002;39,0;89,0
NEL0148;612934;1;25,38;17,240000000000002;3,97;2,4500000000000006;19;15;64,27000000000001;66,97999999999999;18,260000000000005;16,28;29,0;62,0
NEL0148;612934;2;25,38;17,240000000000002;3,97;2,4500000000000006;28;16;64,27000000000001;66,97999999999999;18,260000000000005;16,28;42,0;52,0
NEL0148;612934;3;25,38;17,240000000000002;3,97;2,4500000000000006;25;17;64,27000000000001;66,97999999999999;18,260000000000005;16,28;68,0;60,0
NEL0148;612934;4;25,38;17,240000000000002;3,97;2,4500000000000006;24;20;64,27000000000001;66,97999999999999;18,260000000000005;16,28;78,0;82,0
NEL0148;734879;1;25,38;17,240000000000002;3,97;2,4500000000000006;24;18;64,27000000000001;66,97999999999999;18,260000000000005;16,28;34,0;85,0
NEL0148;734879;2;25,38;17,240000000000002;3,97;2,4500000000000006;36;21;64,27000000000001;66,97999999999999;18,260000000000005;16,28;28,0;61,0
NEL0148;734879;3;25,38;17,240000000000002;3,97;2,4500000000000006;19;15;64,27000000000001;66,97999999999999;18,260000000000005;16,28;89,0;78,0
NEL0148;734879;4;25,38;17,240000000000002;3,97;2,4500000000000006;51;30;64,27000000000001;66,97999999999999;18,260000000000005;16,28;72,0;61,0
NEL0212;612934;1;24,51;16,43;4,5;3,1500000000000004;26;22;57,650000000000006;65,09;14,499999999999998;11,36;50,0;63,0
NEL0212;612934;2;24,51;16,43;4,5;3,1500000000000004;32;21;57,650000000000006;65,09;14,499999999999998;11,36;103,0;61,0
NEL0212;612934;3;24,51;16,43;4,5;3,1500000000000004;18;16;57,650000000000006;65,09;14,499999999999998;11,36;50,0;58,0
NEL0212;612934;4;24,51;16,43;4,5;3,1500000000000004;41;25;57,650000000000006;65,09;14,499999999999998;11,36;68,0;127,0
NEL0212;734879;1;24,51;16,43;4,5;3,1500000000000004;26;15;57,650000000000006;65,09;14,499999999999998;11,36;63,0;57,0
NEL0212;734879;2;24,51;16,43;4,5;3,1500000000000004;32;21;57,650000000000006;65,09;14,499999999999998;11,36;61,0;44,0
NEL0212;734879;3;24,51;16,43;4,5;3,1500000000000004;32;13;57,650000000000006;65,09;14,499999999999998;11,36;110,0;98,0
NEL0212;734879;4;24,51;16,43;4,5;3,1500000000000004;38;17;57,650000000000006;65,09;14,499999999999998;11,36;53,0;57,0
NEL0254;612934;1;18,259999999999998;16,06;2,57;2,82;19;23;118,13;134,31;24,18;22,310000000000002;192,0;144,0
NEL0254;612934;2;18,259999999999998;16,06;2,57;2,82;18;16;118,13;134,31;24,18;22,310000000000002;111,0;205,0
NEL0254;612934;3;18,259999999999998;16,06;2,57;2,82;23;15;118,13;134,31;24,18;22,310000000000002;174,0;162,0
NEL0254;612934;4;18,259999999999998;16,06;2,57;2,82;23;16;118,13;134,31;24,18;22,310000000000002;134,0;247,0
NEL0254;734879;1;18,259999999999998;16,06;2,57;2,82;23;15;118,13;134,31;24,18;22,310000000000002;33,0;69,0
NEL0254;734879;2;18,259999999999998;16,06;2,57;2,82;26;13;118,13;134,31;24,18;22,310000000000002;100,0;30,0
NEL0254;734879;3;18,259999999999998;16,06;2,57;2,82;26;15;118,13;134,31;24,18;22,310000000000002;12,0;53,0
NEL0254;734879;4;18,259999999999998;16,06;2,57;2,82;12;20;118,13;134,31;24,18;22,310000000000002;19,0;9,0
NEL0308;612934;1;17,26;17,700000000000003;1,7799999999999998;2,48;26;30;107,65;124,64;21,71;21,249999999999996;81,0;117,0
NEL0308;612934;2;17,26;17,700000000000003;1,7799999999999998;2,48;21;19;107,65;124,64;21,71;21,249999999999996;134,0;188,0
NEL0308;612934;3;17,26;17,700000000000003;1,7799999999999998;2,48;26;20;107,65;124,64;21,71;21,249999999999996;100,0;134,0
NEL0308;612934;4;17,26;17,700000000000003;1,7799999999999998;2,48;24;25;107,65;124,64;21,71;21,249999999999996;163,0;138,0
