Trem_,Veículo_,Rodeiro Veículo_,Média Rolamento Esquerdo Trem (°C)_delta,Média Rolamento Direito Trem (°C)_delta,DP Rolamento Esquerdo Trem (°C)_delta,DP Rolamento Direito Trem (°C)_delta,Rolamento Esquerdo vagão (°C)_delta,Rolamento Direito vagão (°C)_delta,Média Roda Esquerda Trem (°C)_delta,Média Roda Direita Trem (°C)_delta,DP Roda Esquerda Trem (°C)_delta,DP Roda Direita Trem (°C)_delta,Roda Esquerda vagão (°C)_delta,Roda Direita vagão (°C)_delta
NEL3120,735392,1,10.889999999999997,8.41,2.1799999999999997,1.65,14,7,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,15.0,7.0
NEL3120,735392,2,10.889999999999997,8.41,2.1799999999999997,1.65,14,11,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,13.0,25.0
NEL3120,735392,3,10.889999999999997,8.41,2.1799999999999997,1.65,18,3,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,1.0,14.0
NEL3120,735392,4,10.889999999999997,8.41,2.1799999999999997,1.65,12,12,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,2.0,7.0
NEL3120,735591,1,10.889999999999997,8.41,2.1799999999999997,1.65,10,8,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,4.0,1.0
NEL3120,735591,2,10.889999999999997,8.41,2.1799999999999997,1.65,9,9,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,9.0,1.0
NEL3120,735591,3,10.889999999999997,8.41,2.1799999999999997,1.65,13,7,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,6.0,1.0
NEL3120,735591,4,10.889999999999997,8.41,2.1799999999999997,1.65,12,8,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,9.0,5.0
NEL3120,735592,1,10.889999999999997,8.41,2.1799999999999997,1.65,17,6,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,19.0,12.0
NEL3120,735592,2,10.889999999999997,8.41,2.1799999999999997,1.65,8,13,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,7.0,20.0
NEL3120,735592,3,10.889999999999997,8.41,2.1799999999999997,1.65,7,8,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,9.0,5.0
NEL3120,735592,4,10.889999999999997,8.41,2.1799999999999997,1.65,14,15,0.04999999999999716,6.270000000000003,1.4299999999999997,0.6199999999999974,4.0,24.0
NEQ0110,735083,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,24,18,102.13999999999999,112.49000000000001,17.510000000000005,15.16,122.0,201.0
NEQ0110,735083,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,26,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,137.0,110.0
NEQ0110,735083,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,20,17,102.13999999999999,112.49000000000001,17.510000000000005,15.16,111.0,164.0
NEQ0110,735083,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,25,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,128.0,152.0
NEQ0110,735084,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,21,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,164.0,152.0
NEQ0110,735084,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,30,24,102.13999999999999,112.49000000000001,17.510000000000005,15.16,185.0,138.0
NEQ0110,735084,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,27,15,102.13999999999999,112.49000000000001,17.510000000000005,15.16,157.0,159.0
NEQ0110,735084,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,30,18,102.13999999999999,112.49000000000001,17.510000000000005,15.16,181.0,143.0
NEQ0110,735091,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,18,19,102.13999999999999,112.49000000000001,17.510000000000005,15.16,155.0,124.0
NEQ0110,735091,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,20,23,102.13999999999999,112.49000000000001,17.510000000000005,15.16,157.0,97.0
NEQ0110,735091,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,15,22,102.13999999999999,112.49000000000001,17.510000000000005,15.16,116.0,162.0
NEQ0110,735091,4,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,26,27,102.13999999999999,112.49000000000001,17.510000000000005,15.16,103.0,134.0
NEQ0110,735092,1,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,15,18,102.13999999999999,112.49000000000001,17.510000000000005,15.16,109.0,122.0
NEQ0110,735092,2,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,22,16,102.13999999999999,112.49000000000001,17.510000000000005,15.16,103.0,73.0
NEQ0110,735092,3,18.669999999999998,16.98,1.8099999999999996,1.9399999999999995,24,26,102.13999999999999,112.49000000000001,17.510000000000005,15.16,109.0,113.0
